name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Dhakka Mukki Eatery - Back To School Cafe,"Pramukh Tangent, Shop No 14, Ground, Sargasan Cross Rd, Gandhinagar, Gujarat 382419",,,,4.4,cafe,,gandhinagar,gujarat,"Pramukh Tangent, Shop No 14"
Thicksip - Gandhinagar,"Shop-27, besides TGB, RADHE SQUARE, nr. Reliance Circle, Kudasan, Gandhinagar, Gujarat 382419",,,,4.2,cafe,,gandhinagar,gujarat,"Shop-27, besides TGB"
THE HANGOUT CAFE AND RESTRO,"5JHF+GXW, Palm Rd, Kudasan, Gandhinagar, Gujarat 382419",,,,4.5,cafe,,gandhinagar,gujarat,"5JHF+GXW, Palm Rd"
"Shiva's Coffee Bar & Snacks, Sector-16","Shop No. 4, Plot No. 386, G 5 Cir, Sector 16, Gandhinagar, Gujarat 382016",shivascoffeebar.com,077779 56184,,4.2,cafe,,gandhinagar,gujarat,"Shop No. 4, Plot No. 386"
COFFEE STAND ®- PDPU,"Coffee Stand Happiness Circle, PDPU Rd, Raysan, Gandhinagar, Gujarat 382426",coffeestand.in,091068 63604,,4.0,cafe,,gandhinagar,gujarat,"Coffee Stand Happiness Circle, PDPU Rd"
Divine Chai Bar,"NIFT, Gandhinagar, DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",,,,4.8,cafe,,gandhinagar,gujarat,"NIFT, Gandhinagar"
Rider Coffee Bar,"Gandhinagar - Kudasan Rd, opposite side tata consultancy services, Infocity, Gandhinagar, Gujarat 382007",,087996 70383,,5.0,cafe,,gandhinagar,gujarat,"Gandhinagar - Kudasan Rd, opposite side tata consultancy services"
"MADRAS Cafe, Gift City","Mapple 99, food county, Gujarat International Finance Tec-City, gandhinagar, Gujarat 382050",,,,4.4,cafe,,gandhinagar,gujarat,"Mapple 99, food county"
The Chocolate Room,"BLOCK-D, 8/19, II, Infocity Rd, Infocity, Gandhinagar, Gujarat 382007",thechocolateroomcafe.com,099246 52812,,3.9,cafe,,gandhinagar,gujarat,"BLOCK-D, 8/19"
PURE BEANS & CREAMS,"BLOCK-D, 8/19, II, Infocity Rd, Infocity, Gandhinagar, Gujarat 382007",thechocolateroomcafe.com,099246 52812,,3.9,cafe,,gandhinagar,gujarat,"BLOCK-D, 8/19"
Iscon Gathiya - Gandhinagar,"Sector 6, Gandhinagar, Gujarat 382006",iscongathiya.com,099797 03739,,4.4,cafe,,gandhinagar,gujarat,"Sector 6, Gandhinagar"
BAS CHA SUDHI ️,"TCS, Infocity, Gandhinagar, Gujarat 382007",,,,4.8,cafe,,gandhinagar,gujarat,"TCS, Infocity"
FOODWOODZ RestroCafè,"Plot 909/3, Near, KH 7 Dharm Cir, opp. Samarpan Campus, Sector 28 GIDC, Sector 28, Gandhinagar, Gujarat 382028",,090235 38956,,4.2,cafe,,gandhinagar,gujarat,"Plot 909/3, Near"
Cafe Amul @ Bhat,"3JWH+JMM, Indira Brg, GIDC Bhat, Bhat, Ahmedabad, Gujarat 382428",amul.com,098246 60057,,4.2,cafe,,gandhinagar,gujarat,"3JWH+JMM, Indira Brg"
College Crush Cafe,"Gate No.2, Karnavati University, B/H, Uvarsad, Gujarat 382422",,,,4.8,cafe,,gandhinagar,gujarat,"Gate No.2, Karnavati University"
Shivas coffee bar,"Gate No.2, Karnavati University, B/H, Uvarsad, Gujarat 382422",,,,4.8,cafe,,gandhinagar,gujarat,"Gate No.2, Karnavati University"
Shree Radhe Thal || Best Gujarati Thaal Restaurant In Gandhinagar | Kathiyawadi Thaal Restaurant In Gandhinagar,"Infocity-S, Siddhraj Zavod, Sarkhej - Gandhinagar Hwy, Sargasan, Gandhinagar, Gujarat 382423",,089999 09595,,4.2,cafe,,gandhinagar,gujarat,"Infocity-S, Siddhraj Zavod"
SUPERDONUTS | THE AMERICAN EATERY,"Shop No 6B, BLOCK-F, near GH”0” Cross Roads, Infocity, Gandhinagar, Gujarat 382007",instagram.com,090997 07575,,4.4,cafe,,gandhinagar,gujarat,"Shop No 6B, BLOCK-F"
Chai G sector-28,"Shop No.3,Plot No. 909/09,Shree, Radhe Complex, near Samarpan College, Sector 28 GIDC, Sector 28, Gandhinagar, Gujarat 382028",,077779 09013,,4.4,cafe,,gandhinagar,gujarat,"Shop No.3,Plot No. 909/09"
Karnavati Snacks,"Shop No.3,Plot No. 909/09,Shree, Radhe Complex, near Samarpan College, Sector 28 GIDC, Sector 28, Gandhinagar, Gujarat 382028",,077779 09013,,4.4,cafe,,gandhinagar,gujarat,"Shop No.3,Plot No. 909/09"
BlueBerry Restaurant & Banquet,"1st Floor, Plotno 316, gh4 road, above indian Bank, Sector 16, Gandhinagar, Gujarat 382016",,084909 94429,,4.3,cafe,,gandhinagar,gujarat,"1st Floor, Plotno 316"
Cafehigh5,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, Gandhinagar, Gujarat 382007",,,,5.0,cafe,,gandhinagar,gujarat,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, Gandhinagar"
Tea Post,"Shop No.:15, R World, G/F, Sector 21, Gandhinagar, Gujarat 382010",teapost.in,098984 08895,,4.2,cafe,,gandhinagar,gujarat,"Shop No.:15, R World"
The midnight cafe,"TCS, Gandhinagar, Gujarat 382007",,,,5.0,cafe,,gandhinagar,gujarat,"TCS, Gandhinagar"
Ekta Nasta House & Tifin Servises,"Sector 12B, Gandhinagar, Gujarat 382016",,089803 23262,,4.2,cafe,,gandhinagar,gujarat,"Sector 12B, Gandhinagar"
Yash Food Point & Cafe,"Sector 12B, Gandhinagar, Gujarat 382016",,089803 23262,,4.2,cafe,,gandhinagar,gujarat,"Sector 12B, Gandhinagar"
AGHORI CAFE BAR & LIVE TANDOORI CHAI,"Pramukh Arcade, Reliance Cross Rd, Urjanagar 1, Kudasan, Gandhinagar, Gujarat 382419",,,,4.9,cafe,,gandhinagar,gujarat,"Pramukh Arcade, Reliance Cross Rd"
DADDY'S VADAPAV,"Shop no.7, Shalin Galaria, Sangeet Cir G1, near Rto Gandhinagar, Sargasan, Gandhinagar, Gujarat 382006",,,,4.8,cafe,,gandhinagar,gujarat,"Shop no.7, Shalin Galaria"
"""Dadi Sa"" restaurant || Best Family Restaurant In Gandhinagar | Best Veg Restaurant | RestaurantIn Gandhinagar","Shop no.7, Shalin Galaria, Sangeet Cir G1, near Rto Gandhinagar, Sargasan, Gandhinagar, Gujarat 382006",,,,4.8,cafe,,gandhinagar,gujarat,"Shop no.7, Shalin Galaria"
The Blue Oven,"C 64 Pramukh Mastana , reliance circle, Gandhinagar, Gujarat 382419",,070165 35650,,4.2,cafe,,gandhinagar,gujarat,"C 64 Pramukh Mastana , reliance circle"
The Belgian Waffle Co,"21, Infocity Service Rd, Infocity, Gandhinagar, Gujarat 382007",thebelgianwaffle.co,086579 49536,,4.2,cafe,,gandhinagar,gujarat,"21, Infocity Service Rd"
Green Apple Restaurant,"1st Floor, Nr. Gandhinagar Nagrik Bank GH-4II, Sector 16, Gandhinagar, Gujarat 382016",,096626 53440,,4.1,cafe,,gandhinagar,gujarat,"1st Floor, Nr. Gandhinagar Nagrik Bank GH-4II"
Pathikashram Nilaya,"Pathikashram Nilaya, Nr S.T.Depo., GH-3 Circle, GH Rd, Sector 11, Gandhinagar, Gujarat 382007",pathikashram.in,097979 75050,,4.6,cafe,,gandhinagar,gujarat,"Pathikashram Nilaya, Nr S.T.Depo."
Apna Fal,"Pathikashram Nilaya, Nr S.T.Depo., GH-3 Circle, GH Rd, Sector 11, Gandhinagar, Gujarat 382007",pathikashram.in,097979 75050,,4.6,cafe,,gandhinagar,gujarat,"Pathikashram Nilaya, Nr S.T.Depo."
Rajni Coconut Water Center,"6J7X+768, Kishan Cir, Sector 11, Gandhinagar, Gujarat 382010",,,,4.9,cafe,,gandhinagar,gujarat,"6J7X+768, Kishan Cir"
Khetlaapa Tea Stall,"Shop no.107 , block:- F, Near, GH- 0 Circle, above Dawat Restaurant, Infocity, Gandhinagar, Gujarat 382006",,099253 41016,,4.1,cafe,,gandhinagar,gujarat,"Shop no.107 , block:- F"
1545 box cricket & Cafe,"Sargasan Lake Way, Sargasan, Gandhinagar, Gujarat 382419",,087991 41545,,4.3,cafe,,gandhinagar,gujarat,"Sargasan Lake Way, Sargasan"
BROOTHERS CAFE,"SHOP NO 10, Shopping Centre, near AIR FORCE, Sector 9, Gandhinagar, Gujarat 382007",,096648 60586,,5.0,cafe,,gandhinagar,gujarat,"SHOP NO 10, Shopping Centre"
Venus Rooftop Restro & Cafe | Best Rooftop Cafe in Ahmedabad,"Terrace @, The Emporio, GJ SH 41, above Croma, opp. PVR 4D Square Mall, Harikurpa Society, Chandkheda, Gandhinagar, Ahmedabad, Gujarat 380005",,090995 99585,,4.4,cafe,,gandhinagar,gujarat,"Terrace @, The Emporio"
BROTHERS CAFE,"BLOCK 90, SECTOR 16, CHH, TYPE, 4 GANDHINAGAR ROAD, Gandhinagar, Gujarat 382010",,081539 51491,,5.0,cafe,,gandhinagar,gujarat,"BLOCK 90, SECTOR 16"
Rajwadi CHAI,"6J9R+XCJ, Sector 12B, Gandhinagar, Gujarat 382016",,,,4.4,cafe,,gandhinagar,gujarat,"6J9R+XCJ, Sector 12B"
