name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Meet me cafe,"S/12C, Indiabull megamall, Jetalpur Bridge, Road, Akota, Vadodara, Gujarat 390007",instagram.com,093287 04412,,4.2,cafe,,vadadora,gujarat,"S/12C, Indiabull megamall"
cafe hideaway,"S/12C, Indiabull megamall, Jetalpur Bridge, Road, Akota, Vadodara, Gujarat 390007",instagram.com,093287 04412,,4.2,cafe,,vadadora,gujarat,"S/12C, Indiabull megamall"
Lionize Restro Cafe,"703, Everest Onyx, above Fabindia, Race Course, Vadiwadi, Vadodara, Gujarat 390021",lionizerestrocafe.com,098981 77703,,4.6,cafe,,vadadora,gujarat,"703, Everest Onyx"
Times Cafe Racecourse,"703, Everest Onyx, above Fabindia, Race Course, Vadiwadi, Vadodara, Gujarat 390021",lionizerestrocafe.com,098981 77703,,4.6,cafe,,vadadora,gujarat,"703, Everest Onyx"
Offroad Cafe,"GF-23, Vihav Ensign, Nr. Bansal Mall, Gotri - Vasna Rd, Vadodara, Gujarat 390021",,095747 93197,,4.5,cafe,,vadadora,gujarat,"GF-23, Vihav Ensign"
Maggi House & Cafe. Candle Light Surprise Celebration,"GF-23, Vihav Ensign, Nr. Bansal Mall, Gotri - Vasna Rd, Vadodara, Gujarat 390021",,095747 93197,,4.5,cafe,,vadadora,gujarat,"GF-23, Vihav Ensign"
Modernist Coffee,"701, Sears tower, Gotri Rd, Vadodara, Gujarat 390021",,096012 59531,,4.2,cafe,,vadadora,gujarat,"701, Sears tower"
Cafe Chai Zaika - Fatehgunj,"701, Sears tower, Gotri Rd, Vadodara, Gujarat 390021",,096012 59531,,4.2,cafe,,vadadora,gujarat,"701, Sears tower"
NIGHT LIFE CAFE - FATEHGUNJ,"opp. Rosary High School, Pratapgunj, Vadodara, Gujarat 390002",,,,4.7,cafe,,vadadora,gujarat,"opp. Rosary High School, Pratapgunj"
Size Zero Cafe Bhayli,"opp. Rosary High School, Pratapgunj, Vadodara, Gujarat 390002",,,,4.7,cafe,,vadadora,gujarat,"opp. Rosary High School, Pratapgunj"
Cafe Amistoso | Vadodara,"Sixth floor, Cafe Amistoso, Vihav Trade Centre, 601, Bhayli, Vadodara, Gujarat 391410",amistoso.cafe,074360 72824,,4.7,cafe,,vadadora,gujarat,"Sixth floor, Cafe Amistoso"
Kaffa Coffee Roasters,"Sixth floor, Cafe Amistoso, Vihav Trade Centre, 601, Bhayli, Vadodara, Gujarat 391410",amistoso.cafe,074360 72824,,4.7,cafe,,vadadora,gujarat,"Sixth floor, Cafe Amistoso"
Sky Roof Restaurant & Cafe,"6th floor, Aarya's corner point, 601, opp. Voltamp transformer, near crossing, Makarpura, Maneja, Vadodara, Gujarat 390013",,081550 00501,,4.5,cafe,,vadadora,gujarat,"6th floor, Aarya's corner point"
"Cafe Chai Zaika, Sayajigunj","Aurobindo Ghosh Rd, Near Sayajigunj Police Station, Maharaja Sayajirao University, Sayajiganj, Vadodara, Gujarat 390007",,082009 95732,,4.5,cafe,,vadadora,gujarat,"Aurobindo Ghosh Rd, Near Sayajigunj Police Station"
lerro's cafe,"Aurobindo Ghosh Rd, Near Sayajigunj Police Station, Maharaja Sayajirao University, Sayajiganj, Vadodara, Gujarat 390007",,082009 95732,,4.5,cafe,,vadadora,gujarat,"Aurobindo Ghosh Rd, Near Sayajigunj Police Station"
coffea vadodara 3.0,"Below VEDA I Canal Road, Nizampura Rd, near Canal, TP 13, Chhani, Vadodara, Gujarat 390024",instagram.com,081600 79670,,4.5,cafe,,vadadora,gujarat,"Below VEDA I Canal Road, Nizampura Rd"
Tasu's Cafe,"Below VEDA I Canal Road, Nizampura Rd, near Canal, TP 13, Chhani, Vadodara, Gujarat 390024",instagram.com,081600 79670,,4.5,cafe,,vadadora,gujarat,"Below VEDA I Canal Road, Nizampura Rd"
"Soul Brew Coffee, Vasna Road","Shop No 6, Vasna Rd, Tagore Nagar, Diwalipura, Vadodara, Gujarat 390007",soulbrewcoffee.in,090990 56421,,4.2,cafe,,vadadora,gujarat,"Shop No 6, Vasna Rd"
Crush Coffee,"Shop No 6, Vasna Rd, Tagore Nagar, Diwalipura, Vadodara, Gujarat 390007",soulbrewcoffee.in,090990 56421,,4.2,cafe,,vadadora,gujarat,"Shop No 6, Vasna Rd"
Ramani's Cafe - Authentic South Indian Café in Vadodara,"Samanvay Status 2 complex, G65, Padra Road, Atladara, Vadodara, Gujarat 390012",,094449 89625,,4.7,cafe,,vadadora,gujarat,"Samanvay Status 2 complex, G65"
CACAO KOFFEE PROJECT,"Vasant Vihar Rd A, opposite Springs Exotica II, near Meridian Park, Saiyed Vasna, Vadodara, Gujarat 391410",,098798 15625,,4.2,cafe,,vadadora,gujarat,"Vasant Vihar Rd A, opposite Springs Exotica II"
Devi's Coffee Bar,"Vasant Vihar Rd A, opposite Springs Exotica II, near Meridian Park, Saiyed Vasna, Vadodara, Gujarat 391410",,098798 15625,,4.2,cafe,,vadadora,gujarat,"Vasant Vihar Rd A, opposite Springs Exotica II"
zippyfeed cafe vadodara,"Uma Char Rasta, Taxashia Society, Prabhat Nagar, Waghodia, Vadodara, Gujarat 390019",zippyfeed.com,,,4.3,cafe,,vadadora,gujarat,"Uma Char Rasta, Taxashia Society"
Tea Post - A Place to Talk,"E-10, Jetalpur Rd, Kashivishweshwar Township, Haripura, Vadodara, Gujarat 390007",teapost.in,099043 29991,,4.3,cafe,,vadadora,gujarat,"E-10, Jetalpur Rd"
