name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Adarsh Bhojnalaya,"Plot No-381, Sector 16, behind Trupti, Gandhinagar, Gujarat 382016",,098245 38880,,4.1,restaurant,,gandhinagar,gujarat,"Plot No-381, Sector 16"
Umiyaji Bhojanalay GH 5,"29 30, Food Court, GH 5 Road, near Rworld Cinema, Sector 16, Gandhinagar, Gujarat 382016",,084011 11100,,4.6,restaurant,,gandhinagar,gujarat,"29 30, Food Court"
"Fortune Inn Haveli, Gandhinagar - Member ITC hotels' group","Fortune Inn Haveli, Plot 235, Sector 11, Sector 11, Gandhinagar, Gujarat 382011",itchotels.com,079 2322 4422,,4.5,restaurant,,gandhinagar,gujarat,"Fortune Inn Haveli, Plot 235"
PRAMUKH KATHIYAWADI BHOJANALAY - Sector 6,"Fortune Inn Haveli, Plot 235, Sector 11, Sector 11, Gandhinagar, Gujarat 382011",itchotels.com,079 2322 4422,,4.5,restaurant,,gandhinagar,gujarat,"Fortune Inn Haveli, Plot 235"
MOMOMAN (Infocity),"NICM Rd, Infocity, Gandhinagar, Gujarat 382007",instagram.com,,,3.8,restaurant,,gandhinagar,gujarat,"NICM Rd, Infocity"
Shree Annapurna Village Heritage Restaurant | Kathiyawadi Restaurant | Desi Gujarati Thali | Gandhinagar,"Gandhinagar Bypass Rd, Gandhinagar, Gujarat 382355",,095748 15454,,3.9,restaurant,,gandhinagar,gujarat,"Gandhinagar Bypass Rd, Gandhinagar"
Desi Tadka,"Sector 3/C, Sector 3, Gandhinagar, Gujarat 382006",,092055 14170,,4.4,restaurant,,gandhinagar,gujarat,"Sector 3/C, Sector 3"
I love ️ Cabana,"I Love, Cabana and Resorts, InfoCity Club, near Indroda Circle, Infocity, Gandhinagar, Gujarat 382007",,099798 89377,,3.8,restaurant,,gandhinagar,gujarat,"I Love, Cabana and Resorts"
Anna Dosa Centre,"336/1, C, Sector-12/C, Gandhinagar, Gujarat 382016",,,,4.6,restaurant,,gandhinagar,gujarat,"336/1, C"
Bhavnaben Raval,"Shop No-77 Chopati, -16, GH Road, Gandhinagar, Gujarat 382016",bhavenbenrawal.petpooja.com,097146 72016,,3.8,restaurant,,gandhinagar,gujarat,"Shop No-77 Chopati, -16"
Atulyam Thal,"Second Floor, SUPER MALL-2, Infocity, Gandhinagar, Gujarat 382010",,079847 34443,,3.7,restaurant,,gandhinagar,gujarat,"Second Floor, SUPER MALL-2"
SHAHI FRY CENTRE,"1, opp. Pragati Medan, Sector 6, Gandhinagar, Gujarat 382006",,,,4.3,restaurant,,gandhinagar,gujarat,"1, opp. Pragati Medan"
Dawat foods,"Hiqom hostel, INDIAN INSTITUTE OF TECHNOLOGY, Gandhinagar, Gujarat 382055",,06355 253 458,,4.9,restaurant,,gandhinagar,gujarat,"Hiqom hostel, INDIAN INSTITUTE OF TECHNOLOGY"
Haveli Banquets,"nr. Haveli Arcade, Sector 11, Gandhinagar, Gujarat 382010",,062636 60539,,4.3,restaurant,,gandhinagar,gujarat,"nr. Haveli Arcade, Sector 11"
New civil canteen food court,"Sector 12B, Gandhinagar, Gujarat 382016",,099247 33200,,4.0,restaurant,,gandhinagar,gujarat,"Sector 12B, Gandhinagar"
Rajdarbar Non Veg Hotel,"Sector 11, Gandhinagar, Gujarat 382010",,,,4.2,restaurant,,gandhinagar,gujarat,"Sector 11, Gandhinagar"
Cafezza be caffeinated,"5JGH+3P6, Kudasan-Por Rd, Urjanagar 1, Kudasan, Gandhinagar, Gujarat 382419",,098790 00097,,4.4,restaurant,,gandhinagar,gujarat,"5JGH+3P6, Kudasan-Por Rd"
The Waterside Restaurant,"NH 8C, Sarkhej - Gandhinagar Hwy, beside Narmada Canal, Ahmedabad, Gujarat 382421",thewaterside.in,099251 96320,,4.0,restaurant,,gandhinagar,gujarat,"NH 8C, Sarkhej - Gandhinagar Hwy"
HOTEL LILA,"The Leela Gandhinagar Hotel, Vavol, Gandhinagar, Gujarat 382014",,,,4.2,restaurant,,gandhinagar,gujarat,"The Leela Gandhinagar Hotel, Vavol"
The Burger Boy's,"high school, Rd Number 3, opp. J M Chaudhari Sarvajanik Parking, Sector 7D, Corner, Gandhinagar, Gujarat 382007",,063564 41414,,4.5,restaurant,,gandhinagar,gujarat,"high school, Rd Number 3"
William John's Pizza Gandhinagar Sector 16,"Plot No. 282, 2nd Floor, Besides Torrent Power Office, Manilal Chamber, GH Rd, above Central Bank Of India, Sector 16, Gandhinagar, Gujarat 382016",williamjohnspizza.com,074052 27017,,4.6,restaurant,,gandhinagar,gujarat,"Plot No. 282, 2nd Floor"
Prasang Farm,"Near Ved School, Reliance Cross Road, Road, Sargasan, Gandhinagar, Gujarat 382419",,099982 67489,,4.2,restaurant,,gandhinagar,gujarat,"Near Ved School, Reliance Cross Road"
Shree Ganesh Nasta House,"359, C, Sector 12B, Gandhinagar, Gujarat 382016",,099044 17749,,4.5,restaurant,,gandhinagar,gujarat,"359, C"
GHAR NO ROTLO,"Thermal Power Plant Area, Sector 30, Gandhinagar, Gujarat 382041",,087806 93941,,4.3,restaurant,,gandhinagar,gujarat,"Thermal Power Plant Area, Sector 30"
Shiva’s Coffee and Snacks Sector.11 Gandhinagar,"Unit No.5, Ground Floor, Skyline, Plot No.23, Sector No.11, Sector 11, Gandhinagar, Gujarat 382011",shivascoffeebar.com,070160 26978,,4.4,restaurant,,gandhinagar,gujarat,"Unit No.5, Ground Floor"
Radhe Prem Ni Mithaas (Sector 11),"231, Haveli Arcade, CH Rd, Sector 11, Gandhinagar, Gujarat 382011",premnimithaas.com,075676 21122,,4.3,restaurant,,gandhinagar,gujarat,"231, Haveli Arcade"
