name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Tanishq Jewellery - Rajkot - Dr. Yagnik Road,"J.J Empire, Dr Yagnik Rd, opposite Hotel Imperial Palace, Jagnath Plot, Rajkot, Gujarat 360001",stores.tanishq.co.in,0281 248 0490,,4.8,shop,,rajkot,gujarat,"J.J Empire, Dr Yagnik Rd"
The Raymond Shop,"J.J Empire, Dr Yagnik Rd, opposite Hotel Imperial Palace, Jagnath Plot, Rajkot, Gujarat 360001",stores.tanishq.co.in,0281 248 0490,,4.8,shop,,rajkot,gujarat,"J.J Empire, Dr Yagnik Rd"
The Raymond shop,"Dr Yagnik Rd, near Jilla Panchayat Circle, Race Course, Jagnath Plot, Rajkot, Gujarat 360001",race-course.myraymond.com,080 4493 9160,,,shop,,rajkot,gujarat,"Dr Yagnik Rd, near Jilla Panchayat Circle"
"'Shyam' Novelty and Hosiery Shop, Rajkot","7, Junction Plot Main Rd, Gayakwadi, Shastri Nagar, Rajkot, Gujarat 360001",,098795 95091,,,shop,,rajkot,gujarat,"7, Junction Plot Main Rd"
The Brand Shop,"Shop No. 07, Maa Sharda"" Complex, Nana Mava Rd, opp. Saurashtra Hospital, Shyam Nagar, Chandreshnagar, Rajkot, Gujarat 360001",,,,,shop,,rajkot,gujarat,"Shop No. 07, Maa Sharda"" Complex"
PutOn Mens Wear,"Kirti Nagar, Rajkot, Gujarat 360007",,098251 11002,,4.6,shop,,rajkot,gujarat,"Kirti Nagar, Rajkot"
Himadri Super Market,"Savan Signet, 1, Raiya Rd, Radhika Park, Rajkot, Gujarat 360007",,097266 26629,,4.4,shop,,rajkot,gujarat,"Savan Signet, 1"
D&D MOBILE RAJKOT,"D&D mobile, Sadguru Complex, Raiya Rd, near AMARAPALI UNDER BRIDGE, Raja Nagar, Rajkot, Gujarat 360007",chat.whatsapp.com,077779 30100,,4.7,shop,,rajkot,gujarat,"D&D mobile, Sadguru Complex"
"Skechers - Yagnik Road, Rajkot","Store 221, Shivam Complex, Shop No.1 & 4, Dr Yagnik Rd, opp. Satyam, Jagnath Plot, Rajkot, Gujarat 360001",skechers.in,0281 247 3400,,3.9,shop,,rajkot,gujarat,"Store 221, Shivam Complex"
Balaji shop 1,"7RG6+933, anand nagar main road, Rajkot, Gujarat 360002",,096871 44178,,4.4,shop,,rajkot,gujarat,"7RG6+933, anand nagar main road"
KALYANI HOSIERY - Best Lingerie Store In Town,"KALYANI HOSIERY, New Shalimar complex, Sir Lakhajiraj Rd, opposite Parhlad Cinema, Gujari Bazar, Diwanpara, Rajkot, Gujarat 360001",,084015 50099,,4.9,shop,,rajkot,gujarat,"KALYANI HOSIERY, New Shalimar complex"
D Mart,"Shop No. 111 1st Floor, Elora Complex, Gondal Rd, near D-Mart, Ram Nagar, Sardar Nagar, Rajkot, Gujarat 360002",dmartindia.com,022 3340 0500,,4.3,shop,,rajkot,gujarat,"Shop No. 111 1st Floor, Elora Complex"
Radhe Novelty,"7QP8+HV4, inovetive School Road, University Rd, Panchayat Chowk, Rajkot, Gujarat 360004",,098244 08979,,3.5,shop,,rajkot,gujarat,"7QP8+HV4, inovetive School Road"
ShopBeat: The Art of Gifting - Your Corporate Gift Destination,"703, Silk Route, 150 Feet Ring Rd, nr. Astha Residency Road, Ambedkar Chowk, Punit Nagar, Mavdi, Rajkot, Gujarat 360004",shopbeat.in,097123 47911,,4.9,shop,,rajkot,gujarat,"703, Silk Route"
